user_id,order,username,Gem Color,nickname,follower_count,following_count,like_count,video_count,digg_count,friend_count,private_account,secret,ttSeller,verified
7.10039E+18,89,jacobsfam4674,,tutle14,75,497,0,0,14500,0,TRUE,TRUE,FALSE,FALSE
7.18872E+18,90,jimmyc_1510,,Jimmy,1569,6175,4805,0,31700,0,FALSE,FALSE,FALSE,FALSE
6.928E+18,91,deitaroblox,,DeltaRBLX,154,1930,2175,245,1016,0,FALSE,FALSE,FALSE,FALSE
6.82704E+18,92,dylancollins047,,Dylan Collins,369,8648,6,1,4019,0,TRUE,TRUE,FALSE,FALSE
7.28106E+18,93,ston0445,,Ston,18,62,0,0,8220,0,FALSE,FALSE,FALSE,FALSE
6.86879E+18,94,lucasgrams2,,Lucas Grams,38,174,0,0,9481,0,FALSE,FALSE,FALSE,FALSE
7.06431E+18,95,tzvis0,,Tzvi,63,438,13,0,5748,0,TRUE,TRUE,FALSE,FALSE
7.46101E+18,96,skyler.stephens6,,skyler stephens,62,92,0,0,621,0,FALSE,FALSE,FALSE,FALSE
7.55039E+18,97,benbikes100,,Cow boy peet,101,40,3695,42,140,0,FALSE,FALSE,FALSE,FALSE
7.25366E+18,98,leo_pepple,,Leo_Pepple,40,218,0,0,2088,0,FALSE,FALSE,FALSE,FALSE
7.27668E+18,99,baby_grinch_wit_a_gen5,,baby_grinch_wit_a_gen5,31,487,0,0,12500,0,FALSE,FALSE,FALSE,FALSE
7.37124E+18,100,steven41983,,steven41983,134,611,0,0,31200,0,TRUE,TRUE,FALSE,FALSE
7.24696E+18,101,ris3nx84,,Ris3nx,10,282,0,0,6884,0,FALSE,FALSE,FALSE,FALSE
7.24915E+18,102,certkurisu,,CertKurisu,29,88,0,0,1118,0,FALSE,FALSE,FALSE,FALSE
6.82393E+18,103,chevytrap,,Connor May,105,775,64,2,6363,0,FALSE,FALSE,FALSE,FALSE
7.36271E+18,104,xzzxzxzxxzxxxzzxxzx,,🧐🧐🧐,14,104,0,0,3571,0,TRUE,TRUE,FALSE,FALSE
7.30599E+18,105,duffie14,,duffie,932,305,253300,28,3578,0,FALSE,FALSE,FALSE,FALSE
7.38896E+18,106,ryanvorgs001,,Ryan,42,60,0,0,19300,0,FALSE,FALSE,FALSE,FALSE
7.51639E+18,107,nolannn_14,,Nolskr,98,1002,0,0,20400,0,FALSE,FALSE,FALSE,FALSE
7.56082E+18,108,jamseywamsey55,RED,James.fisher,29,39,53,1,2735,0,FALSE,FALSE,FALSE,FALSE
7.50077E+18,109,ilovelinkinpark86,,phattie34!!!!!!,489,113,33000,52,23800,0,FALSE,FALSE,FALSE,FALSE
7.29001E+18,110,tallkid_sings,,tallkid_sings,159,2601,511,1,4263,0,FALSE,FALSE,FALSE,FALSE
7.55808E+18,111,felixwood17,,Felizo,109,153,17,0,472,0,FALSE,FALSE,FALSE,FALSE
7.29927E+18,112,sandtax,,Sandtax,63,491,158,0,12800,0,FALSE,FALSE,FALSE,FALSE
7.44979E+18,113,daniel_lbx18,,Daniel,220,3646,0,0,4220,0,FALSE,FALSE,FALSE,FALSE
7.50699E+18,114,lola38413,,Lola✨,313,197,4345,111,15000,0,FALSE,FALSE,FALSE,FALSE
7.22415E+18,115,drewloskove,,Andrew,50,60,0,0,2887,0,TRUE,TRUE,FALSE,FALSE
7.3033E+18,116,ayden_johnson19,,Ayden🏒🥅,416,847,113,2,3358,0,FALSE,FALSE,FALSE,FALSE
7.009E+18,117,ryan_swivet,,Ryan Bione,57,93,22,1,6441,0,FALSE,FALSE,FALSE,FALSE
7.20863E+18,118,gradyowens4,,grady owens,50,70,0,0,158,0,FALSE,FALSE,FALSE,FALSE
7.55161E+18,119,theupnorth_prboy,,TheUpNorth_PRBoy,8,159,100,13,751,0,FALSE,FALSE,FALSE,FALSE
7.5361E+18,120,as.drastic,,AS | Drastic,63,316,584,19,3298,0,FALSE,FALSE,FALSE,FALSE
7.22543E+18,121,tatecollier,,tatecollier,20,193,0,0,39,0,FALSE,FALSE,FALSE,FALSE
7.12519E+18,122,mr.tophat_7,RED,Mr.tophat,8,1000,0,0,77700,0,TRUE,TRUE,FALSE,FALSE
7.09773E+18,123,sam_roshek,,Sam Roshek23,71,1211,0,0,29800,0,FALSE,FALSE,FALSE,FALSE
6.95339E+18,124,dat6.6dirtymax,,2015 Chevy Silverado🦆,3216,530,57100,12,4137,0,FALSE,FALSE,FALSE,FALSE
7.25509E+18,125,braythebeast590,,BrayTheBeast,120,221,0,0,42100,0,FALSE,FALSE,FALSE,FALSE
7.40763E+18,126,ieatdirt785,,ieatdirt,58,118,345,6,213,0,FALSE,FALSE,FALSE,FALSE
7.26166E+18,127,brenden.michaell,,Brenden,155,441,22,0,7639,0,FALSE,FALSE,FALSE,FALSE
7.01387E+18,128,19_miata_90,,shlermer_zaltsman,30,380,75,13,443,0,FALSE,FALSE,FALSE,FALSE
7.34672E+18,129,egg.boy20,,Egg Boy,11,139,0,0,427,0,FALSE,FALSE,FALSE,FALSE
7.43658E+18,130,luca..pet,,luca,75,52,4195,0,1010,0,FALSE,FALSE,FALSE,FALSE
7.3631E+18,131,epicaxolotl1,,Evie,6,630,0,0,4071,0,FALSE,FALSE,FALSE,FALSE
7.2755E+18,132,ben.co01,,ben.c,170,462,228,0,5130,0,TRUE,TRUE,FALSE,FALSE
6.64654E+18,133,maddox_s57,,Maddox,229,488,292,4,30400,0,FALSE,FALSE,FALSE,FALSE
7.52675E+18,134,ari.super.secret10,,Ari!!,101,978,631,3,12700,0,FALSE,FALSE,FALSE,FALSE
7.29963E+18,135,carmellatte5,,Eczema,12,338,0,0,3760,0,TRUE,TRUE,FALSE,FALSE
7.47406E+18,136,eli.johson,,Farthead3000 • following,110,56,0,0,42700,0,FALSE,FALSE,FALSE,FALSE
7.50934E+18,137,theapplecollector4,,TheAppleCollector,34,314,0,0,6597,0,FALSE,FALSE,FALSE,FALSE
7.56015E+18,138,travis.j.williams,,travis.j.williams,32,46,373,28,383,0,FALSE,FALSE,FALSE,FALSE
7.50707E+18,139,shaydenjohnson4,,️Shayden,216,543,355,6,10400,0,TRUE,TRUE,FALSE,FALSE
7.54695E+18,140,boogieman6786,,boogieman678,11,64,0,0,147,0,FALSE,FALSE,FALSE,FALSE
7.05137E+18,141,moneymindset771,,moneymindset771,9196,1247,205,25,4239,0,FALSE,FALSE,FALSE,FALSE
7.55811E+18,142,ryanhuo2012,,ry4n,52,66,68,2,5080,0,FALSE,FALSE,FALSE,FALSE
7.58314E+18,143,natethegreat476,,ieatdirt,28,126,2,1,76,0,FALSE,FALSE,FALSE,FALSE
7.51324E+18,144,hudsonwooster222,,Official_buzzcutbandit,290,838,8920,83,14800,0,FALSE,FALSE,FALSE,FALSE
7.5509E+18,145,milesmc_edits,,milesmc_edits,869,1137,2082,42,1087,0,FALSE,FALSE,FALSE,FALSE
7.44462E+18,146,shuakatz,,shua_katz,37,405,65,25,3643,0,FALSE,FALSE,FALSE,FALSE
7.26691E+18,147,johnnyhemberger,,johnnyhemberger,58,96,17,1,219,0,TRUE,TRUE,FALSE,FALSE
7.31463E+18,148,vikingjoee,,Viking Joe,7,36,0,0,342,0,FALSE,FALSE,FALSE,FALSE
7.28955E+18,149,daniel_garcia_001,,Daniel Garcia,1449,211,45,1,10000,0,FALSE,FALSE,FALSE,FALSE
7.52933E+18,150,ethanhertling7,RED,Ethan,38,34,0,0,217,0,FALSE,FALSE,FALSE,FALSE
7.52223E+18,151,liam.durag,,Liam Durag,21,61,0,0,4757,0,FALSE,FALSE,FALSE,FALSE
7.25273E+18,152,nolan......9,,Nolan,124,255,265,0,2464,0,FALSE,FALSE,FALSE,FALSE
7.54238E+18,153,samhill536,,itsme,4,125,0,0,4862,0,FALSE,FALSE,FALSE,FALSE
7.29851E+18,154,thatsmyguyeli,,️,27,455,251,11,27700,0,TRUE,TRUE,FALSE,FALSE
7.56863E+18,155,adam.pucci7,,Adam Pucci,23,214,9,2,204,0,FALSE,FALSE,FALSE,FALSE
7.19276E+18,156,matthewmariglianogolf,,matthewmarigliano,113,59,565,11,746,0,FALSE,FALSE,FALSE,FALSE
7.14636E+18,157,captainchromosome88,,Karmacookie05,217,48,28,0,3688,0,FALSE,FALSE,FALSE,FALSE
7.51349E+18,158,donovanhowes2,,donovanhowes,38,80,93,7,3602,0,FALSE,FALSE,FALSE,FALSE
7.56268E+18,159,billybob67677,,Billy Bob,8,48,0,0,92,0,FALSE,FALSE,FALSE,FALSE
7.57201E+18,160,sharkrtm09w,,shark,39,71,23,2,363,0,TRUE,TRUE,FALSE,FALSE
6.94813E+18,161,kmf_xrthegreat9118,,~KMF> XRTheGreat,35,92,722,162,1818,0,FALSE,FALSE,FALSE,FALSE
7.12547E+18,162,eli.sim10,,Eli Sim,182,354,386,4,1243,0,FALSE,FALSE,FALSE,FALSE
7.13334E+18,163,luke.r306,,Luke,64,136,93,3,11000,0,FALSE,FALSE,FALSE,FALSE
7.23401E+18,164,juicewrldfan_21,,JuiceWrldFan999forever,133,1206,1787,39,11400,0,FALSE,FALSE,FALSE,FALSE
7.32859E+18,165,michaelcharlesgallardo,,michaelcharlesgallardo,245,81,2488,0,10600,0,FALSE,FALSE,FALSE,FALSE
7.27705E+18,166,user2839939231906,RED,user2839939231906,13,56,0,0,519,0,FALSE,FALSE,FALSE,FALSE
7.37076E+18,167,real_lw1239,,real_lw,30,258,256,10,1064,0,FALSE,FALSE,FALSE,FALSE
7.33563E+18,168,calebhasty2,,caleb,19,479,2,0,1126,0,FALSE,FALSE,FALSE,FALSE
7.48508E+18,169,yougotmail04,,5 more mins,60,397,29,11,453,0,FALSE,FALSE,FALSE,FALSE
7.43354E+18,170,monkeyeye564,,That_monkey_guy,13,45,43,2,794,0,FALSE,FALSE,FALSE,FALSE
7.56126E+18,171,avenir_xeditz,,.,66,79,49,2,374,0,FALSE,FALSE,FALSE,FALSE
7.26175E+18,172,hezzy.brown,,Hezzy.Brownn,189,387,37,1,699,0,FALSE,FALSE,FALSE,FALSE
